nama_tempat,user,review,rating
unknown location,hairin,"Duduk menikmati ombak di tepi pantai, sambil minum kelapa muda. Harga kelapa masih wajar  Rp. 12.000,- per buah.",4
unknown location,muhammadsafei,"pantai nya bagus, tapi agak kotor, terakhir kesini kena pungli, dan kemarin abis kesini lagi hampur kena salah sasaran dari orang yg mabuk, gak waras oknum oknum disana, hampir di pukulin rame rame teman saya oelh gerombolan mereka, semoga orang itu ditangkap dan segera diberi sanksi, parah bgt",1
unknown location,Joseph Gabriel,"Pantai Labuhan Jukung merupakan salah satu pantai terkenal di Pesisir Barat. Terletak di pusat kota Krui, pantai ini merupakan icon dari Krui, dan dapat disebut sebagai ""Kuta""nya Lampung. Disini tersedia banyak jajanan mulai dari makanan …",5
unknown location,mey deb,"Pantainya bersih, pasirnya putih, ada tempat nongkrong2 di bawah pohon rindang jadi adem sambil minum kelapa yang harganya 10k.
Masuk mobil bayar 5k, per orang bayar 3k murah harga gak digetok, pariwisatanya …",5
unknown location,Muhammad Ikhwan,"Tiket masuk IDR10.000/motor.
Pantai & Pemandangan nya bagus cuma sayang kurang terawat.
Masih banyak sampah berserakan dan area berfoto nya banyak yang rusak.",3
unknown location,Risma Aini,Pemandangan bagus akses mudah🤩🤩 …,5
unknown location,28. Tasya Marliani,"Pantainya bagus. Ombaknya lumayan besar untuk surfing, bisa liat sunset disini dengan jelas. Namun, ada satu sisi pantai yang kotor dan banyak sampah. Sepertinya jarang dibersihkan karna benar2 bertumpuk di pesisir pantai. Untuk makanan …",4
unknown location,Yadi Priadi,"Santai sore pas kesini. Berjalan kaki kesini seyelah makan bakso ikan yang terkenal di Krui. Lokasinya bersebrangan dengan lapangan sepak bola Krui
Disini ada banyak yang berjualan makanan dan jajanan …",5
unknown location,Nana Listiana,"Pantai di Lampung gak kalah Indah.
Biaya masuk ke sini sangat terjangkau.
Hanya saja jarak tempuh memang lumayan jauh dari Kota Bandar Lampung.
Namun sepadan dengan keindahan pantainya.",5
unknown location,Liza Onafia Putri,"Lautnya indah, biru banget. Sekitarnya udah kayak alun alunlah ada tempat jual makanan dan minuman, jual/tempat mainan untuk anak anak, dsb. Masuk kemarin pas masih suasana lebaran harga tiket 3k/orang. Bagus sihh tapi mungkin karena suasan lebaran jadi rame banget.",5
unknown location,Tito Alriando Wirajaya,"saya touring dari balam ke sini tak kira bagus taunya biasa aja, harga tiket masuk 5k sih murah tapi kayak ga keurus gitu karna banyak sampah pinggir laut. semoga kedepannya pihak pengelola memperhatikan kebersihan pantainya karna mengingat ini termasuk ikon kota pesibar",4
unknown location,Aditya Karnawiredja,"Pantai Labuhan Jukung menjadi salah satu dari wisata pantai yang sekaligus menjadi wisata pulau. Pulau yang terletak di seberang pantai bukan menjadi spot utama dari destinasi wisata alam ini. Walau demikian, keberadaan dari pulau tersebut …",5
unknown location,Fania,"Pantainya indah sekali terutama saat sunset. Bersih juga karena tiap hari ada petugas kebersihannya. Hanya saja ketika mereka bakar sampah, bau asapnya cukup mengganggu. Pagi hari adalah waktu yabg sangat tepat untuk bermain air (kalau …",5
unknown location,Zeroun Hudatemus,"Hari Minggu ada pasar tumpah
Cocok untuk dewasa
Anak2 belum ada tempat main air
Retribusi liar tanpa ada tiket",5
unknown location,Novvia Susantika,"Mantaapp...
Pantai yg bernama labuhan jukung adalah pantai laut lepas samudra Hindia.. soooo bagi yg tidak menguasai antai hati hati yaaa gais untuk berenang disini. …",5
unknown location,MR. Popeye darat,"Tempat yg sangat indah.
Hanya pecinta ombak yg berlama lama di sisni.(seperti saya)
Saya merekom anda yg suka berburu ombak. …",5
unknown location,Aprilianisme Dian,"Enak nyantai sore2, rekomen jajan kelapa muda aren sambil liat pantai... Jajanan masih standar harganya ya, Parkir 15rb, pantainya bersih.",5
unknown location,Evin Sihaloho,"Pantai nya hanya bisa di nikmati untuk foto2 dan santai sambil minum kelapa hijau dan makan indomie. Tidak direkomendasikan untuk berenang karena ombaknya besar. Bisa bersantai di pinggiran atau pendopo, dan tenda2 yg disediakan (free) …",3
unknown location,Abel Nathania,"Sudah dua kali ke pantai ini kalau lagi main ke tempat adekku yg di liwa pasti selalu mampir kesini...
Pasirnya putih dan ombaknya besar, jadi anak2 harus selalu di perhatikan orang tua kalau berenang, cuma memang masih banyak sampah...",5
unknown location,kakak Zack,"LABUHAN JUKUNG Plaza Tepi Pantai
Seperti kota-kota lain ibukota kabuten Pesisir Barat juga memiliki ruang terbuka hijau, uniknya karena kota Krui ini terletak di tepi pantai maka RTH juga …",3
unknown location,Rijanto,"Pantai bersih, bisa buat surfing dan santai bersama keluarga.",5
unknown location,MOH ANSORI,"Tempat wisata yang cocok bagi semua usia,
Pemandangan yang indah,
Apalagi waktu ada senja, …",5
unknown location,Angga Meygi Berta,"Pelabuhan Jukung di Pesisir Barat Kabupaten Pesisir Barat, Provinsi Lampung
lokasi pantai yang menarik dan makin apik
dengan nuansa pantai yang berhadpan langusng dengan samudera hindia …",5
unknown location,Renaldi Okta Pratama,"Cocok untuk bersantai karena bnyak angin sepoi"" dan pemandangan yg cukup baik selain dari pada ombak"" di laut bahkan bisa menikmati indahnya melihat lumba"" yg melompat",5
unknown location,yopie franz,"Pantai indah di Krui Pesisir Barat.

Asyik buat santai pagi atau sore. Banyak warung yang jual makanan dan minuman. …",5
unknown location,Lolita Siregar,Pantai yg lumayan bagus dan sangat cocok untuo bersantai bersama keluarga di pinggiran pantai terdapat beberapa jajanan yg bisa dinikmati,5
unknown location,SULUNG PUTRA,"Cukup ramai dan sangat indah, salah satu destinasi wisata yg payut utk dikumjunhi di pesisir barat Lampung",3
unknown location,Bertha Wina,"Bersih, aman, ada banyak kreasi anak2 jadi siap2 kalau bawa anak sibuk keliling maen odong2,mobilan, mandi bola, trompolin dll. 😁 …",5
unknown location,Arif Hiks,"Pantainya indah banget, penduduknya pun ramah yang buat saya betah berlama-lama di krui.
Untuk labuhan jukung ini bintang 5+ deh selain tempatnya umum mulai dari masuk …",5
unknown location,Ilyas David,"Fasilitas perlu di perhatikan lagi oleh pengelola, dan bangunan yg sudah lapuk harapannya di rubuhkan, untuk view sangat bagus",4
unknown location,ell fandi,"nyantai, banyak makanan dan minuman.
Petis 10K
Es kelapa 10K …",5
unknown location,Sanak Lampung,"pantainya bagus cocok buat liburan keluarga, fasilitas nya juga lengkap harga tiket gak terlalu mahal",4
unknown location,Tiwul 88,"Salah satu spot wisata pantai yang terkenal di Krui pesisir barat Lampung, tempatnya asik untuk berlibur bersama keluarga, terdapat juga kuliner yang terdapat disini salah satunya bakso ikan dua samudra yang cukup terkenal.. bulan Maret sampai November banyak bule yang berkunjung disini...",4
unknown location,ogi marsenal,"Pantainy bagus untuk tempat liburan dgn keluarga. Tidak ada biaya tiket masuk, beli makanan dan jajanan di sekitar juga sangat terjangkau. Dan yang paling penting, warga di pesisir barat sangat ramah dan bersahabat",5
unknown location,Amel,Pengen ke sini lagi duduk santai sambil lihat sunset. Sunset terindah yang pernah aku lihat diantara semua pantai di lampung🥺 …,5
unknown location,Ardian Isnanto,"Seru tempatnya dan serba murah, tapi sayang gak bisa mandi karena laut lepas jadi ombaknya gede",5
unknown location,Peti yose,"Tempat nya bagus tp alangkah baik nya kalau tidak ada pungutan biaya di tempat ini, kecewa si dari dulu ga pernah bayar sekarang masuk aja tiap motor 13rb,
Terlalu mahal si buat ukuran orang disini, kaya nya aji mumpung banget ya buat mereka2 yg suka mintain uang masuk pas lebaran gini😏 …",4
unknown location,Safriandi,"Salah satu pilihan destinasi wisata yang cukup menarik untuk dikunjungi wisatawan yang ingin menghabiskan waktu berlibur bersama keluarga dan teman serta sanak saudara, tempat yang bersih dan nyaman serta terjangkau",5
unknown location,HIDAYAT 25,"Mantul... Itu kesan pertama pas datengin tempat ini.. Biaya masuk murah udah dapat pasir putih yang alus banget dan enak nya, kita masih bisa eksplor daerah sekitar karna emang bagus bangus tempat nya,, recomended banget nih buat yang suka pantai.. Sini main ke pesisir barat, lampung😊 …",5
unknown location,duaistanto,"Pantainya bagus, warna laut putih kebiruan.. lokasi pas buat surfing. Hanya perlu menunggu investor untuk datang dan mengembangkan kawasan wisata pantai ini.",5
unknown location,Nadhira Syarifah,Tempat utk bersantai bareng kluarga dan teman2 yang nyaman. Bisa minum dogan sambil menimati indahny ombak serta di kab. Pesisir barat,5
unknown location,ARVINO SAURUS,"Suka bangeettttttt lautanyaa bersiihhhh
Saran kalo mau foto pilih yg dibelakang tulisan labuhan jukung. Krna pasirnya bersih gk bnyk ranting2.",5
unknown location,Rani Sari,"Waktu kesini cuaca lagi buruk, hujan + angin kencang, jd ga bs menikmati suasana. Tp ini memang tempat yg indah",5
unknown location,DREDROIDS,"pantainya lumayan bersih, pasir putih, hanya kesadaran pengunjung aja yg harus menjaga kebersihan pantai ini, tempat sampah sdh ada. sebaiknya dijaga kebersihannya. sampah yg terlihat ada beberapa sampah organik dari pantai sisa kayu atau pelepah kelapa",4
unknown location,Yuzkar Efendi (Fendi),"Wisata Pantai Paling keren di Kota Krui Pesisir Barat Lampung , yuuuk Liburan kesini pantainya dan pasirnya sangat indah",5
unknown location,Haryadi hamzah,"Ombaknya besar, bagus untuk belajar ski, Sekarang lagi sepi, karena corona..., mudah-mudahan normal kembali..",4
unknown location,Anita Yuli,"pantai dan laut yg indah, pokoknya sukaaa banyak penginapan pinggir pantai, anak2 seneng main pasir dan ombak di pinggir pantai, airnya bersih TOP",5
unknown location,Indra Hardianto,"Air lautnya bening, pasirnya lembut sekali, pantainya panjang dan ombaknya cukup besar, sehingga banyak turis mancanegara yg surfing di pantai ini. Sayangnya infrastruktur sarana & prasarana masih sangat minim sehingga sangat disayangkan …",5
unknown location,Ardi Bho,"Aman,nyaman dan menyenangkan",5
unknown location,Abbasy Channel,"Pantainya mantaappp. . . Ombaknya mantaappp, banyak orang surfing, banyak bule jugaaa. . . Sayang jauh banget dari kota Bandar lampung. Berasa banget, jadi 1-2 hari kayanya kurang kalo kesana, biar gk cape bolak balik di perjalanan. Mungkin 3-4 hari kali yaa, seminggu juga boleh 😂 …",5
unknown location,Fabian Parulian,Deburan ombak yg besar sangat mempesona dan fasilitasnya lumayan baik.  Hanya karena kondisi pandemi covid maka tempatnya ditutup sementara dan berakibat terbengkalainya beberapa sarana.,5
unknown location,Febry MceVean,"Benar2 pulau yg amazing...
Sangat disayangkan pengelolaan n pengembangan nya gak maximal.. pdhl alamnya sangat luar biasa bangeeeetttt",4
unknown location,M. Okta,"Pagi pagi jalan dan nongkrong di pantai tanpa bisa menikmati kopi.
Secara pas lagi bulan Ramadhan 1442 H.
Jam 07:30 WIB belum ada petugas loket  jadi masih bebas keluar masuk.",4
unknown location,Bisri syamsuri,"Pantainya landai tapi tetep harus hati-hati karena ombaknya gede. Kalo anak kecil harus dengan pengawasan bisa ketarik ombaknya.
Kalo pas ketemu cuaca bagus, sunset nya keren banget. Penduduk lokal nya jg …",5
unknown location,deka adiftha,Pantai nya bersih. Masuk 5 dewasa 4 anak anak cm 20.000. Pondokan gratis tapi harus jajan makanan atau minuman. (Worty lah iia. Masa iia mau gratisan) kopi 5 rb. Kelapa murni 10 rb. Normal.,5
unknown location,Azis FA,"View sunset paling kereenn di lampung, penduduk ramah bgt. Fasilitas lengkap, jangan lupa jaga kebersihan!",5
unknown location,Iga Mawarnii,"Jauh jauh merantau ke kota orang, gaada yg terbaik pantainya selain labju penuh kenangan eaa ~",5
unknown location,Rina Kartika Fanhar,"Tempatnya asik, bersih.
Toiletnya juga bersih, ga kayak pantai lainnya.
Masuknya murah banget, cuma Rp 3.000/ orang. …",5
unknown location,Bikers Pincang,"Asli Labuhan jukung kruii Indah Banget Dengan Ombak Nya Dan Pantai Nya,pantesan Banyak Bule kesini",4
unknown location,Putri Wahyudi,"Super cantik. Deket jalan raya. Lebih indah dari foto. Harus dateng langsung, walaupun warung seafood cuman beberapa (buatku agak aneh, terbiasa di pulau jawa sih, hehehe maaf)",5
unknown location,Bayu Septian,"Tempat nyore tiap hari , buat hunting foto sunset , buat mandi anak2 , tempatnya bagus",5
unknown location,Cio Hasudungan,"Cocok untuk rekreasi bersama keluarga, lingkungannya bersih, banyak kuliner yang ditawarkan dan keindahan pantai mendukung daya tarik wisatawan",5
unknown location,Ranita 5517,"Tempat yang bagus untuk berwisata...

Selalu ramai setiap harii.. Apa lagi di hari"" besar",5
unknown location,R X,"Salah satu tempat wisata yg ada di Krui, Pesisir Barat. Kurang lengkap kalau ke Kabupaten ini belum menikmati Pantai Labuhan jukung ini.
Tetap jaga kebersihan pantainya ya, salam lestari .!",5
unknown location,Moch Randy Setyanugraha,"Disini makanannya lumayan menguras dompet tapi bagi sekedar liburan bertemu pasir putih dan berenang sangat cocok walaupun ombak lumayan kencang di usahakan hati-hati tersedia juga penginapan yang tak jauh dari pantai disini , diusahakan …",5
unknown location,Atta barber,"tempat nya bagus cuma kebersihan nya yg kurang trus udah gak kerawat gitu,, coba aja kalo di kelola lagi pasti bagus bnget ,  terimakasih",3
unknown location,Kks toto,"Tempat nya bagus,cocok buat keluarga,nyaman ,tinggal dipoles dikit lagi 👍👍👍 …",5
unknown location,Muhammad Kazoku,"Parkir gratis, masuk kawasannya juga gratis. Harga makanannya juga relatif murah.",5
unknown location,herlan heriza,"Tempat refreshing yg nyaman, kita bisa Nongki Santai di tepi Pantai sambil memanjakan mata melihat sunset di laut lepas ufuk barat, ombak besar bagus buat surfing bareng Bule Mancanegara.",5
unknown location,dian,"Bagus, dogannya seger. Enak. Ada tempat sewa sepeda sehingga bisa keliling naik sepeda sekitar lantai",5
unknown location,nia pratiwi,Pantai pertama yg gw kunjungi pas pertama kali menginjakkan kaki di Krui... dr Jaman bahela Krui emang terkenal sebagai surganya bule2 untuk surfing jd gk heran pertama kali liat pantainya langsung disuguhkan dng pemandangan ombaknya yg bikin gw tersepona🤣 #norakmodeon …,5
unknown location,Dhori,"Salah satu pantai yang memiliki ombak terbaik didunia, jadi spot surfing, banyak bule dari manca negara jauh jauh kesini cuma buat surfing loh karena keindahan pantai dan keindahan ombaknya, tempatnya bagus bersih nyaman, worthit buat reakreasi bareng keluarga juga sipp",5
unknown location,Rita Anggraini,Kalo kesini pasti cari penginapan dipinggir pantai ini biar bs mnikmati keindahan sunset n pagi2 bisa berendam di laut...👍👍👍 …,5
unknown location,Anita Azis (nitnot),Pantai dengan ombak besar dan pemandangan yg indah menyejukkan mata,4
unknown location,Rully Lpg,Bagus lumayan ramai pengunjung dari luar Lampung. Makanan dan minuman masih bersahabat harganya..,5
unknown location,Metredz,Labuhan Jukung Krui Ikonik pantai di pesisir barat. Htm 3k mobil 5k.,5
unknown location,Revi Rosi Yanti,"Pantai ini ombaknya memanjakan mata bgt,, udah 2 kali ke pantai ini, dan ulasan ini aku bikin di kunjungan yg ke dua kalinya. Pantainya makin bagus, makin bersih. Sayangnya cuaca tidak mendukung. #humb baru bentar dah hujan jd gak bisa …",5
unknown location,agung sektiono,Tempatnya masih asri blm banyak pengunjung enak buat mengjilangkan penat samudra yg begitu luas,5
unknown location,Vera Nozalina,Pantainya bersih air lautnya jernih pasirnya putih keren deh pokoknya gak nyesel kepantai labuhan jukung krui,5
unknown location,Noer endho,"Pantai yang terletak tidak jauh dari kota Krui ini lumayan bersih dengan dengan gelombang laut lepas cocok buat liburan keluarga bisa buat surfing, namun harus waspada karena banyak anjing yang berkeliaran disekitar lokasi pantai",4
unknown location,rumaisa hilya karima,"Tempat rekreasi yang bagus untuk anak- anak banyak wahana bermainnya, untuk  umum pun disana pantainya bagus.",5
unknown location,Elisabeth Merrylen (Little Miss Merry),"Hemm, ini labuhan jukung ikon kota Krui cenderung tidak terawat yaaa. Ada pondok2 dipakai untuk anak2 sekolah duduk2. Ada warung kecil, pelayanannya baik sekali, kita duduk di bawah pohon dan di tawarin tikar gratis. ❤️ Orang2nya ramah.",3
unknown location,Arga Aditama,"Suasana nyaman, pemandangan jos gandos dengan banyak orang berjualan makanan ringan. Kita disuguhi pantai dan pegunungan bukit barisan. Cocok untuk liburan sekeluarga.",3
unknown location,Novrin Dwinka,"Pantainya bagus, pasirnya bersih dekat kota jadi gak susah cari makanan, untuk tempat nginap ada juga di sediakan tapi berhubung cuma mampir jadi gak sempet cari tau tentang harga",5
unknown location,emen ly,"Pantai lumayan bersih,ombaknya besar jd ada larangan berenang kecuali main air dipinggir pantai",5
unknown location,Muhammad Luthfi,Utk sekedar isi waktu libur lah ya... utk kebersihan kayanya perlu sedikit ditingkatkan oleh pihak pengelola... tapi ombak nya enak untuk Surfing (kalau lg ga pasang),5
unknown location,Sigasik Express,"Murah meriah, masuk mobil 6 orang cuma diminta 15rb aja... Tempatnya nyaman ombak besar, tempat asik, bikin betah berlama-lama di sini...",3
unknown location,Ahmad Fahrudin,"Asik di pantai nyaaa, laut nya bersih tidak ada sampah, dan banyak orang yg berkunjung",5
unknown location,Afida Urfan Viarini,"Tempatnya bagus, ombaknya indah, kekurangannya adalah kurang perawatan dari pihak terkait",4
unknown location,Vita Mei,Lokasi...bersih..nyaman...harga makanan dan minuman standar...,5
unknown location,Sukron Nasir,"Mantap, pntai nya indah dan pasirnya bersih. Namun sayang sampah masih berserakan di pinggir pantai",5
unknown location,Mas Daus,"Labuhan Jukung Terletak di pinggir pantai Krui, ibukota dari Kabupaten Pesisir Barat, Provinsi Lampung. …",5
unknown location,BajiTa,"Ombaknya besar banget, penduduknya ramah, banyak tempat bersantai kursi-kursi,rumah rumahan gratis.. Recommended",5
unknown location,Dio Firnando,"Culture nya beragam dan tempat ny terbuka sekali untuk semua kalangan, kl sy nyebut nya Krui itu Little Bali nya lampung, yg datang dari jauh, siapin uang lebih untuk sewa penginapan.. …",5
unknown location,Inggar Rayi,Seru sekali lihat deburan ombak disini. Ombaknya cocok untuk orang yang ingin belanar selancar,4
unknown location,dadang sa,Tempat wisata paling populer di pesisir barat kalo liburan wajib ni kesini,5
unknown location,Lita Hapsari,"Ombak dan pemandangannya bagus, hanya sayang kurang terawat dan kotor",4
unknown location,Meilina Purwaningsih,"16 April 2024
Pantai nya indah banyak yang jualan di pinggir pantai harganya terjangkau",5
unknown location,Munazar Ali,"Suasana yg tidak terlalu ramai ,pantai masih bersih dari sampah , ombaknya lumayan besar untuk melakukan aktivitas surfing",5
unknown location,Junjungan Studio,"Saya suka tempat ini, tapi sayannya pantainya kurang terawat terlihat dari fasiltas disekitar yang mulai usang dan kurang sentuhan pemerintah setempat.",3
unknown location,muhammad rifai,"Tempat yang wajib di kunjungi karena ombak nya yang besar dan pemandangannya yang sangat bagus bagi refleksi mata hehe.
Banyak spot untuk swa foto bareng keluarga gebetan maupun bareng pacar.",5
unknown location,Redmi 10,Lanskap lebar untuk mengamati hilal dan keindahan alam 🌳☘️😊🌟 …,5
unknown location,Zuyin Urfa,Jam 5 air sudah pasang jadi satang sebelum jam 5 kalo mau berenang air jernih pasir bersih,5
unknown location,Titien Ariyani,"Kereeen,bersih dan nyaman tempatnya,sdh banyak yg berjualan makanan jg minuman",5
unknown location,ananda afrida,"Tempat luar biasa eksotik, di sekitar pantai juga tenang, sejuk dan banyak hotel murah walaupun agak jauh dari pantai nya..
Banyak cafe2 pinggir pantai yg kalau menurutku sih biasa aja (ga banyak menu …",5
unknown location,Jaya Purnama,"Keren Labuhan jukung, sayangnya gak dapet sunset karna cuaca gak mendukung🤔 …",5
unknown location,Aqsa Driatama,Salah satu tempat wisata yg bagus di kampung halaman. Semoga makin terawat,5
unknown location,Selamet Susanto,Tempat yang cocok untuk refreshing dan menikmati sunset di pinggir pantai,5
unknown location,Nanang Sutrisno,"Tempat rapi dan bersih, ada banyak tempat nongkrong menikmati pantai dan minum kelapa muda, pegawai dinaspun ramah2 pada rombongan kami,",4
unknown location,Hartoyo Faiz aqila,Tempat yg indah untuk bersantai bersama keluarga dan yg terpenting aman dan nyaman.,4
unknown location,NU style,Sering banget refreshing kesini tempat yg nyaman damai & beautiful of sunset.,4
unknown location,DANG ASA,Labuhan jukung krui memang asik tempat santai santai banyak penjual dan penginapan di pinggir pantai,5
unknown location,Dessy Yenni,Tempat refresh tepi laut sambil menikmati bakso ikan tuhuk khas daerah Krui Pesibar,5
unknown location,bahruddin fuad,Bagus,5
unknown location,Revi Jayanti,"Krui pantai jukung, tempat nya lumayan bagus, pantai nya bagus, pemandangan nya bgus, dekat tempat nongkrong, tapi terlalu rame kalo mau main di pantainya",5
unknown location,Heri Hidayat,Cocok unt Melihat indahnya sunset 🏖🏖🌅👍👍 …,5
unknown location,Yeni Apriliakurnia,"Banyak kuliner, aneka permainan anak, cocok buat santai bareng keluarga😁 …",5
unknown location,Ngah Lusi,Pantai krui lab-ju...pantai yg indah...ada berbgai mcam kuliner nya d pinggr pantai...ada jg turiz2 asing..dan ad jg tempt penginpan yg terdekt dgn pantai lab-ju../hotel...pokok nya beautyfullll pantai labuhan jukung,5
unknown location,Muhammad Budiman (Budiman),"Kalau melihat selancar jadi kepengen ikutan bermain,semoga krui tambah rame",5
unknown location,Vrengki Anggi Purnomo,Pesona pantai labuan jukung yang indah. Bisa menikmati sunset dan sunrise yang luar biasa . Bisa juga kulineran dan minum degan yang segar,4
unknown location,Tommy Anggoro,"Pemandangan bagus, asik buat berenang dan main papan seluncur",5
unknown location,PERMISI,"Kota Krui adlh kota Wisata yg menyuguhkan  Kedamaian duniawi, yg menjadi wisata salah satunya adlh dari sektor Pariwisata pantainya... yg ombaknya memikat Touris Lokal maupun mancanegara.",5
unknown location,triyanto hadi,"Pantai putih brsih,dg panorama lautn lepas,nyamn suasanany.",4
unknown location,orang biasa,"pantai dengan pemandangan, air, ombak yg mengagumkan. banyak pantai yg keren di krui dengan jalan yg berkelok-kelok yg mengasyikkan.",4
unknown location,Ricky Danang Pratama,Pantai nya bagus oke banget deh kalo buat poto poto,5
unknown location,ARDO SAPUTRA,"Negeri ulama dan para say batin, banyak makanan khas daerah dan wisata kuliner khas daerah, sport surfing dan wisata laut",4
unknown location,Agian H,"Bagus, indah... Membuat ingin kesini lagi lagi dan lagi...",5
